N,P,K,ph,moisture,temperature,crop,fertilizer
114.33214523714035,89.17930330831159,61.872555998718475,5.124074561769746,22.479561626896214,16.452090304204987,Sugarcane,Lime + Organic Manure
74.128226350469,86.42834644654523,6.955526958101233,8.379639408647977,76.59541126403374,20.308477766956905,Cotton,Gypsum + Compost
26.09151863314489,39.987857940346835,54.851861005062595,6.227780074568463,33.298331215843355,30.296322368059485,Sugarcane,NPK 20-20-0
10.366551269565775,116.9818846667678,27.113277340878902,4.862425738131283,59.47088074664698,24.56154978167907,Maize,Lime + Organic Manure
73.12767541913489,10.34179746279974,62.716760930636646,5.182096494749166,15.204127438822361,38.722138431333335,Sugarcane,Lime + Organic Manure
69.77814505223702,49.32289779209035,6.5167939609203485,5.4235753024885955,29.282037282080935,32.081587970636456,Sugarcane,MOP (Muriate of Potash)
61.945344662796074,8.954679928250115,91.38543819748429,5.535119926400068,63.00178274831856,22.792776902235275,Sugarcane,DAP (Diammonium Phosphate)
28.913291229841715,70.28553769929901,7.974762783278066,7.8691390983799945,45.98033066958125,24.878755900045363,Jute,Gypsum + Compost
73.75849756327479,111.01553702765844,13.406787694932353,5.283931449676581,13.618183112843045,23.133258269081608,Sugarcane,MOP (Muriate of Potash)
36.205138653998034,100.30481355247187,38.89156603589098,5.623738038749523,53.41568665265988,18.523105624369066,Cotton,Standard Compost
13.573324023173644,118.49199770905949,78.36325308318246,5.29486272613669,10.441769369888192,35.386535711370854,Cotton,Urea
86.80432456609475,95.87018716108865,62.566197604196084,8.205203514053396,62.08616204015556,37.87399188859452,Rice,Gypsum + Compost
76.67928458516916,43.053272858054655,11.038043277172246,5.743929286862649,36.014665762139764,33.2401544584516,Rice,MOP (Muriate of Potash)
107.02946539627756,59.30471639362417,16.36145336413866,7.35297914889198,70.8628038893518,29.031929939237408,Jute,MOP (Muriate of Potash)
61.786493581904935,65.1142753789293,45.616396744062214,4.60167650697638,18.631314159464356,15.785729642168356,Jute,Lime + Organic Manure
41.15093782377757,63.48562948394082,91.21881502297883,5.4971689165955,42.830633842850375,33.888778463576216,Rice,Standard Compost
113.42816061416782,73.86952864618164,71.00456863877193,8.02187135606103,59.94832385070346,22.390842145942848,Sugarcane,Gypsum + Compost
105.21796787158753,97.42228884339816,22.724155594173403,8.070235993959912,53.147379353252056,35.18600387910156,Cotton,Gypsum + Compost
45.97425137885212,109.28527077776171,30.852563691540354,7.090760482165449,10.041630159625266,23.814221408354225,Sugarcane,Standard Compost
5.799495011086931,63.73593979642006,44.654045299134005,5.388431241882921,19.589229386694626,23.4403792850907,Wheat,Urea
42.16833718238685,64.66092150048709,71.7868010950419,5.954518409517176,87.74256661767686,39.06118237355278,Wheat,Standard Compost
85.07499137657567,86.91111784131084,19.06825834557299,8.490961940195767,31.3424811420228,39.41537389581632,Jute,Gypsum + Compost
